,full_name,id
0,"Waterford, CT",01a04a3016dfccf7
1,"Fort Lauderdale, FL",6c686af766d8429c
2,"Ohio, USA",de599025180e2ee7
3,"Cumberland, RI",012bca3721fb4c4e
4,"Stamford, CT",468bfe7c705fbc37
5,"Pennsylvania, USA",dd9c503d6c35364b
6,"Radnor Township, PA",d180df6c736539e4
7,"California, USA",fbd6d2f5a4e4a15e
8,"South Portland, ME",2438e517cb050ced
9,"Roanoke, TX",001a980b0bf26339
10,"Los Gatos, CA",a2de7c70b82b0ca0
11,"Connecticut, USA",e86b380cfefcced5
12,"Independence, MO",04b4aca917b0103d
13,"Bolton, CT",01ebe1a6782c84bd
14,"Arlington, VA",319ee7b36c9149da
15,"Manhattan, NY",01a9a39529b27f36
16,"Minnesota, USA",9807c5c5f7a2c6ce
17,"Marlborough, MA",fbe7a12a76a49216
18,"Greenwich, CT",005bdbe763d96c1d
19,"Binghamton, NY",859b7f1502db8fe9
20,"Queens, NY",00c39537733fa112
21,"Akron, OH",fef01a8cb0eacb64
22,"Washington, DC",01fbe706f872cb32
23,"Missouri, USA",2526edd24c06e60c
24,"Berlin, CT",01d6f19009e2111a
25,"Los Angeles, CA",3b77caf94bfc81fe
26,"Brunswick, OH",2c8ced473810bde2
27,"Philadelphia, PA",e4a0d228eb6be76b
28,"Niantic, CT",6b24fd2834eaa53c
29,"Illinois, USA",f54a2170ff4b15f7
30,"Hollywood, FL",2bc7c264a080898b
31,"Port Jefferson, NY",70d4a44111ba3c94
32,"Cohasset, MA",0135cc8347e0b8f2
33,"Grand Forks, ND",da0b409f35f780db
34,"Leesburg, FL",3e9e789d837e78eb
35,"New Hampshire, USA",226b21641df42460
36,"New London, CT",6e9c054da607b539
37,"Texas, USA",e0060cda70f5f341
38,"New York, USA",94965b2c45386f87
39,"Virginia, USA",5635c19c2b5078d1
40,"Altadena, CA",fb76b3aa366004c9
41,"Valencia West, AZ",0172552d7a380653
42,"Auburn, NY",f8e6f4aa8e4393c0
43,"Saybrook Manor, CT",01fc71655bd6bb80
44,"Maine, USA",463f5d9615d7d1be
45,Bacon Academy,07d9dbb1ccc80002
46,"Brooklyn, NY",011add077f4d2da3
47,NorthShore Glenbrook Hospital,07d9f737e1883000
48,"North Tustin, CA",002c095d059ebf44
49,"Portland, OR",ac88a4f17a51c7fc
50,"Houston, TX",1c69a67ad480e1b1
51,"New Mexico, USA",71d65c0e6d94efab
52,"Massachusetts, USA",cd450c94084cbf9b
53,"Ellicott City, MD",515586774402eacb
54,"The Woodlands, TX",5280739904d0ef48
55,"Mesa, AZ",44d207663001f00b
56,"Glastonbury, CT",014983333a17f250
57,"Paso Robles, CA",0251fb9132a1b3c1
58,"Erie, PA",29aaa88d9fe74b50
59,"Durham, NC",bced47a0c99c71d0
60,"Mentor, OH",a47c7932f8997705
61,"Wake Forest, NC",01e2c29e3bad4178
62,"East Lyme, CT",07d9f41826883000
63,United States,96683cc9126741d1
64,"Abita Springs, LA",006cb77253c2c656
65,"Pinecrest, FL",05dea592baf3c555
66,"Hatboro, PA",43052f33cb317b97
