id,text,author_id,public_metrics,created_at,in_reply_to_user_id,conversation_id,reply_settings,source,referenced_tweets,context_annotations,entities,user,user_name,city,state,county,country,cty_st,year,label,keywords_label
3.79E+17,"On either side of Lyme Regis, England but especially to the west on Monmouth beach, visitors can see http://t.co/TTFOdnE3eU",20649854,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2013-09-13T14:03:26.000Z,,3.79E+17,everyone,Pinterest,,,"{'urls': [{'start': 101, 'end': 123, 'url': 'http://t.co/TTFOdnE3eU', 'expanded_url': 'http://pinterest.com/pin/113715959314794123/', 'display_url': 'pinterest.com/pin/1137159593…'}], 'annotations': [{'start': 18, 'end': 27, 'probability': 0.6423, 'type': 'Place', 'normalized_text': 'Lyme Regis'}, {'start': 30, 'end': 36, 'probability': 0.7609, 'type': 'Place', 'normalized_text': 'England'}, {'start': 68, 'end': 81, 'probability': 0.4115, 'type': 'Place', 'normalized_text': 'Monmouth beach'}]}","{'description': 'Health Coaching and Personal Development are my passion! Follow me to receive free gifts, awesome healthy recipes & tips to keep yourself healthy, fit & happy.', 'created_at': '2009-02-12T02:55:09.000Z', 'name': 'Coach Tammy', 'username': 'MyHealthCoachT', 'location': 'San Diego, CA', 'public_metrics': {'followers_count': 4293, 'following_count': 3912, 'tweet_count': 30786, 'listed_count': 63}}",MyHealthCoachT,San Diego,California,San Diego County,United States,"San Diego County,California",2013,0,0
1.88E+17,"Random Fact: Lyme disease is named after an outbreak of cases in the 1970s in Lyme and Old Lyme, CT: http://t.co/rEFAqhU8 (@mental_floss)",16439471,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2012-04-05T17:23:00.000Z,,1.88E+17,everyone,Sprout Social,,,"{'annotations': [{'start': 78, 'end': 81, 'probability': 0.7559, 'type': 'Place', 'normalized_text': 'Lyme'}, {'start': 87, 'end': 94, 'probability': 0.6659, 'type': 'Place', 'normalized_text': 'Old Lyme'}], 'urls': [{'start': 101, 'end': 121, 'url': 'http://t.co/rEFAqhU8', 'expanded_url': 'http://bit.ly/HxfApX', 'display_url': 'bit.ly/HxfApX'}], 'mentions': [{'start': 123, 'end': 136, 'username': 'mental_floss', 'id': '20065936'}]}","{'public_metrics': {'followers_count': 131698, 'following_count': 1490, 'tweet_count': 115683, 'listed_count': 3973}, 'username': 'TheWeek', 'name': 'The Week', 'created_at': '2008-09-24T19:33:22.000Z', 'description': 'All you need to know about everything that matters.', 'location': 'New York, NY'}",TheWeek,New York,New York,New York County,United States,"New York County,New York",2012,1,1
1.28E+18,"it’s sad elena delle donne had to write this, but I am glad that she did. be better, @WNBA. https://t.co/dswGYBFJDe",431382200,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",2020-07-15T17:02:10.000Z,,1.28E+18,everyone,Twitter for iPhone,,"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10002734734', 'name': 'WNBA Basketball', 'description': 'All the latest basketball action from the WNBA.'}}, {'domain': {'id': '11', 'name': 'Sport', 'description': 'Types of sports, like soccer and basketball'}, 'entity': {'id': '706083902411055104', 'name': 'Basketball'}}, {'domain': {'id': '26', 'name': 'Sports League', 'description': ''}, 'entity': {'id': '859816871570284544', 'name': 'WNBA', 'description': 'WNBA'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '860222927630774272', 'name': 'Elena Delle Donne', 'description': 'Elena Delle Donne'}}, {'domain': {'id': '60', 'name': 'Athlete', 'description': 'An athlete in the world, like Serena Williams or Lionel Messi'}, 'entity': {'id': '860222927630774272', 'name': 'Elena Delle Donne', 'description': 'Elena Delle Donne'}}]","{'mentions': [{'start': 85, 'end': 90, 'username': 'WNBA', 'id': '17159397'}], 'urls': [{'start': 92, 'end': 115, 'url': 'https://t.co/dswGYBFJDe', 'expanded_url': 'https://www.theplayerstribune.com/en-us/articles/elena-delle-donne-wnba-season-lyme-disease', 'display_url': 'theplayerstribune.com/en-us/articles…'}], 'annotations': [{'start': 9, 'end': 25, 'probability': 0.7128, 'type': 'Person', 'normalized_text': 'elena delle donne'}]}","{'public_metrics': {'followers_count': 2412, 'following_count': 566, 'tweet_count': 19128, 'listed_count': 41}, 'created_at': '2011-12-08T06:43:36.000Z', 'description': 'how can you not be romantic about football? | sports betting host and analyst | @MSGNetworks and @Pickswise | inquiries: fromano@csetalentrep.com | loading …', 'name': 'Alex Glaze', 'location': 'Atlanta, GA', 'username': 'Alex_Glaze'}",Alex_Glaze,Atlanta,Georgia,Fulton County,United States,"Fulton County,Georgia",2020,1,0
1.11E+18,"Getting some insects ready to pin #insects #stagbeetle #humiditychamber #pinning #artistinresidence #florencegriswoldmuseum #oldlyme #ct @ Old Lyme, Connecticut https://t.co/vHg2aomY7T",2391963650,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2019-03-14T15:07:14.000Z,,1.11E+18,everyone,Instagram,,,"{'annotations': [{'start': 139, 'end': 159, 'probability': 0.4215, 'type': 'Place', 'normalized_text': 'Old Lyme, Connecticut'}], 'urls': [{'start': 161, 'end': 184, 'url': 'https://t.co/vHg2aomY7T', 'expanded_url': 'https://www.instagram.com/p/Bu_kAnPF4PX/?utm_source=ig_twitter_share&igshid=buylpqa4k2i6', 'display_url': 'instagram.com/p/Bu_kAnPF4PX/…'}], 'hashtags': [{'start': 34, 'end': 42, 'tag': 'insects'}, {'start': 43, 'end': 54, 'tag': 'stagbeetle'}, {'start': 55, 'end': 71, 'tag': 'humiditychamber'}, {'start': 72, 'end': 80, 'tag': 'pinning'}, {'start': 81, 'end': 99, 'tag': 'artistinresidence'}, {'start': 100, 'end': 123, 'tag': 'florencegriswoldmuseum'}, {'start': 124, 'end': 132, 'tag': 'oldlyme'}, {'start': 133, 'end': 136, 'tag': 'ct'}]}","{'name': 'Jennifer Angus', 'public_metrics': {'followers_count': 193, 'following_count': 79, 'tweet_count': 1208, 'listed_count': 0}, 'description': 'Artist, Writer, Educator', 'created_at': '2014-03-16T02:49:24.000Z', 'username': 'InsectGurl', 'location': 'Madison, WI'}",InsectGurl,Madison,Wisconsin,Dane County,United States,"Dane County,Wisconsin",2019,0,0
1.24E+18,"@yoshinoviolet @eugenegu @realDonaldTrump Lyme disease  Guinea worm St. Louis Encephalitis  West Nile virus  Point is,places of origin have long been named after viruses and diseases and trying to play the victim so you can call others racist is a political stunt and quite pathetic",348941808,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2020-03-18T14:25:59.000Z,1.22E+18,1.24E+18,everyone,Twitter for iPhone,"[{'type': 'replied_to', 'id': '1240281321848500224'}]","[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': 'US President Donald Trump'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': 'US President Donald Trump'}}]","{'mentions': [{'start': 0, 'end': 14, 'username': 'yoshinoviolet', 'id': '1222301277071335425'}, {'start': 15, 'end': 24, 'username': 'eugenegu', 'id': '65497475'}, {'start': 25, 'end': 41, 'username': 'realDonaldTrump', 'id': '25073877'}]}","{'description': 'The world is always bigger than what any single man has to say about it', 'public_metrics': {'followers_count': 114, 'following_count': 102, 'tweet_count': 1246, 'listed_count': 0}, 'username': 'AlbertjrAsamoah', 'name': 'Al', 'created_at': '2011-08-05T07:55:21.000Z', 'location': 'Las Vegas, NV'}",AlbertjrAsamoah,Las Vegas,Nevada,Clark County,United States,"Clark County,Nevada",2020,1,1
6.07E+16,New report from #IOM about lyme and tick-borne diseases released today: http://bit.ly/hhyDBw,16564324,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2011-04-20T16:06:03.000Z,,6.07E+16,everyone,SocialEngage,,,"{'hashtags': [{'start': 16, 'end': 20, 'tag': 'IOM'}]}","{'public_metrics': {'followers_count': 89350, 'following_count': 2141, 'tweet_count': 22213, 'listed_count': 1718}, 'username': 'theNASEM', 'name': 'National Academies', 'created_at': '2008-10-02T19:01:57.000Z', 'location': 'Washington, DC', 'description': 'The official account of The National Academies of Sciences, Engineering, and Medicine. Advising the nation, advancing the discussion, connecting new frontiers.'}",theNASEM,Washington,District of Columbia,District of Columbia,United States,"District of Columbia,District of Columbia",2011,1,1
9.25E+17,H.S. soccer roundup: NFA outlasts East Lyme on penalty kicks https://t.co/6SGBmjbU3u,1080134341,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 10, 'quote_count': 0}",2017-10-29T12:55:00.000Z,,9.25E+17,everyone,Twitter Web Client,,,"{'urls': [{'start': 61, 'end': 84, 'url': 'https://t.co/6SGBmjbU3u', 'expanded_url': 'http://norwichbulletin.com/sports/20171027/hs-soccer-roundup-nfa-outlasts-east-lyme-on-penalty-kicks', 'display_url': 'norwichbulletin.com/sports/2017102…'}], 'annotations': [{'start': 21, 'end': 23, 'probability': 0.7873, 'type': 'Organization', 'normalized_text': 'NFA'}, {'start': 34, 'end': 42, 'probability': 0.7895, 'type': 'Organization', 'normalized_text': 'East Lyme'}]}","{'username': 'nfaschool', 'description': ""Since 1854 - Setting The Region's Standard In Secondary Education For Public And Private Tuition Students. The Official Twitter Page Of NFA."", 'public_metrics': {'followers_count': 3206, 'following_count': 68, 'tweet_count': 4416, 'listed_count': 10}, 'created_at': '2013-01-11T16:01:35.000Z', 'name': 'Norwich Free Academy', 'location': 'Norwich, CT'}",nfaschool,Norwich,Connecticut,New London County,United States,"New London County,Connecticut",2017,0,0
2.32E+17,"Bee and Thistle Inn, Old Lyme, Connecticut http://t.co/7tv6fUof &lt;&lt; Great. Now I want to go to Old Lyme.",14308110,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2012-08-05T20:52:04.000Z,,2.32E+17,everyone,Buffer,,,"{'urls': [{'start': 43, 'end': 63, 'url': 'http://t.co/7tv6fUof', 'expanded_url': 'http://bit.ly/ODLV6H', 'display_url': 'bit.ly/ODLV6H'}], 'annotations': [{'start': 8, 'end': 18, 'probability': 0.7981, 'type': 'Place', 'normalized_text': 'Thistle Inn'}, {'start': 31, 'end': 41, 'probability': 0.6513, 'type': 'Place', 'normalized_text': 'Connecticut'}, {'start': 94, 'end': 101, 'probability': 0.4506, 'type': 'Place', 'normalized_text': 'Old Lyme'}]}","{'location': 'Nashville, TN', 'created_at': '2008-04-05T03:01:51.000Z', 'public_metrics': {'followers_count': 2058, 'following_count': 983, 'tweet_count': 28856, 'listed_count': 198}, 'description': 'Just a Boston driver living in a Nashville world. I really am from Possum Trot KY. @TNJusticeCenter & @Oasisnashville boards. #GenXer #RedSox #LGBT She/her', 'name': 'Kristie Helms Nettles', 'username': 'KristieHelms'}",KristieHelms,Nashville,Tennessee,Davidson County,United States,"Davidson County,Tennessee",2012,0,0
3.47E+17,Afflicted: Living with Lyme http://t.co/0s81gbH5Bw,12794062,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2013-06-17T14:51:18.000Z,,3.47E+17,everyone,dlvr.it,,,"{'urls': [{'start': 28, 'end': 50, 'url': 'http://t.co/0s81gbH5Bw', 'expanded_url': 'http://bfpne.ws/1bNt6Wz', 'display_url': 'bfpne.ws/1bNt6Wz'}]}","{'public_metrics': {'followers_count': 60472, 'following_count': 6118, 'tweet_count': 123225, 'listed_count': 943}, 'created_at': '2008-01-28T18:04:38.000Z', 'description': 'Vermont headlines and breaking news from the Burlington Free Press. Updated by BFP newsroom staff. Part of the USA Today Network. https://t.co/2g5al56nqj', 'name': 'BurlingtonFreePress', 'location': 'Burlington, Vermont', 'username': 'bfp_news'}",bfp_news,Burlington,Vermont,Chittenden County,United States,"Chittenden County,Vermont",2013,1,0
1.21E+18,Devastated! 30 mins ago blue staff  is lost on London Road lyme Green and lyme green retail park Macclesfield. He will be scared. A firework frightened him and he ran off from us. We are searching for him now.  He is... https://t.co/apymgPJBzx,487865427,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2019-12-26T21:23:03.000Z,,1.21E+18,everyone,Facebook,,,"{'annotations': [{'start': 47, 'end': 68, 'probability': 0.5867, 'type': 'Organization', 'normalized_text': 'London Road lyme Green'}, {'start': 97, 'end': 108, 'probability': 0.6351, 'type': 'Place', 'normalized_text': 'Macclesfield'}], 'urls': [{'start': 220, 'end': 243, 'url': 'https://t.co/apymgPJBzx', 'expanded_url': 'https://www.facebook.com/723741059/posts/10157910767216060/', 'display_url': 'facebook.com/723741059/post…'}]}","{'name': 'Sue Armitt', 'public_metrics': {'followers_count': 85, 'following_count': 220, 'tweet_count': 13001, 'listed_count': 0}, 'description': '', 'created_at': '2012-02-09T20:39:54.000Z', 'username': 'laffmecheshire', 'location': 'Macclesfield'}",laffmecheshire,MacClesfield,North Carolina,Edgecombe County,United States,"Edgecombe County,North Carolina",2019,0,0
