id,text,author_id,public_metrics,created_at,in_reply_to_user_id,conversation_id,reply_settings,source,referenced_tweets,context_annotations,entities,user,user_name,city,state,county,country,cty_st,year,keywords_label,Ground Truth
1.40213E+18,I always forget I have Lyme disease until the summer hits. When it gets hot my body falls apart completely. Like I am SO fckn tired at all times lately and everything hurts.,106851750,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 9, 'quote_count': 0}",2021-06-08T05:06:10.000Z,,1.40213E+18,everyone,Twitter for iPhone,,,,"{'public_metrics': {'followers_count': 2620, 'following_count': 717, 'tweet_count': 35861, 'listed_count': 8}, 'location': 'Naugatuck, CT', 'name': 'k̵̨̰̙̓á̴̢̡̙̯͉̪͓̣̉y̵̼̲̪͍̳̌͜͠ś̷̢̧͈̯̞͓̗̮̼̌͆̄̎̌̄̕', 'created_at': '2010-01-20T22:13:15.000Z', 'description': '26 | ENFP | Tattoo Artist in CT | Me n billy date | she/they | ☼♊︎ ☾♊︎ ⇑♒︎', 'username': 'kayseeshuster'}",kayseeshuster,Naugatuck,Connecticut,New Haven County,United States,"New Haven County,Connecticut",2021,1,1
1.16131E+18,Assembly member Didi Barrett and I heard about all of the important work at Upstate Hospital and Medical University including new research concerning ticks and Lyme disease transmissions. Our community is fortunate to have so many doctors and other medicals professionals in CNY. https://t.co/AxpGbjuHbr,2429582042,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 5, 'quote_count': 1}",2019-08-13T16:13:30.000Z,,1.16131E+18,everyone,Twitter Web App,,,"{'annotations': [{'start': 16, 'end': 27, 'probability': 0.9869, 'type': 'Person', 'normalized_text': 'Didi Barrett'}, {'start': 76, 'end': 114, 'probability': 0.4024, 'type': 'Organization', 'normalized_text': 'Upstate Hospital and Medical University'}], 'urls': [{'start': 280, 'end': 303, 'url': 'https://t.co/AxpGbjuHbr', 'expanded_url': 'https://twitter.com/BillMagnarelli/status/1161309814548500485/photo/1', 'display_url': 'pic.twitter.com/AxpGbjuHbr'}]}","{'username': 'BillMagnarelli', 'name': 'William B Magnarelli', 'location': 'Syracuse, New York', 'public_metrics': {'followers_count': 1590, 'following_count': 262, 'tweet_count': 443, 'listed_count': 77}, 'description': 'Assemblyman William B. Magnarelli currently serves in the New York State Assembly as Chair of the Transportation Committee.', 'created_at': '2014-04-05T23:38:24.000Z'}",BillMagnarelli,Syracuse,New York,Onondaga County,United States,"Onondaga County,New York",2019,1,1
9.30351E+17,"Fabulous ⓂDⓂ Mysterious_lyMe(ID:4169773) is streaming, let’s go. https://t.co/IPmDwwRW3S https://t.co/M6FBVDpUAX",28524554,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2017-11-14T08:25:25.000Z,,9.30351E+17,everyone,eagle.live,,,"{'urls': [{'start': 65, 'end': 88, 'url': 'https://t.co/IPmDwwRW3S', 'expanded_url': 'http://share.eaglelive.me/?uid=4169773', 'display_url': 'share.eaglelive.me/?uid=4169773'}, {'start': 89, 'end': 112, 'url': 'https://t.co/M6FBVDpUAX', 'expanded_url': 'https://twitter.com/darkside3824/status/930350946890190848/photo/1', 'display_url': 'pic.twitter.com/M6FBVDpUAX'}]}","{'description': 'BROTHER L.WILLIAMS DJ/MASSAGE THERAPIST/ PROMOTER', 'created_at': '2009-04-03T07:46:21.000Z', 'name': 'djdarkside214', 'username': 'darkside3824', 'location': 'Chicago,  IL', 'public_metrics': {'followers_count': 537, 'following_count': 1750, 'tweet_count': 25814, 'listed_count': 3}}",darkside3824,Chicago,Illinois,Cook County,United States,"Cook County,Illinois",2017,0,
2.07322E+17,This is a great last night in east lyme. Life rocks,22230052,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2012-05-29T04:07:10.000Z,,2.07322E+17,everyone,Twitter SMS,,,,"{'public_metrics': {'followers_count': 318, 'following_count': 568, 'tweet_count': 13991, 'listed_count': 4}, 'created_at': '2009-02-28T04:56:51.000Z', 'description': 'I tweet about UConn, burritos, a̶n̶d̶ ̶p̶o̶o̶r̶ ̶w̶o̶r̶k̶-̶l̶i̶f̶e̶ ̶b̶a̶l̶a̶n̶c̶e̶. cheers! support the Pan Mass Challenge here - https://t.co/7S75dXLpPE', 'name': 'Nathan (🌯,🦑)', 'location': 'Boston, MA', 'username': 'natokast'}",natokast,Boston,Massachusetts,Suffolk County,United States,"Suffolk County,Massachusetts",2012,0,
2.00028E+17,@sharonrainey  That's so great. Now can you find me a husband? @Lyme_Warrior @berylmom @alisyngayle @lil_duckski @hannahkickslyme,19893071,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2012-05-09T01:02:21.000Z,14692193,2.00028E+17,everyone,Twitter Web Client,"[{'type': 'replied_to', 'id': '200027743981809665'}]",,"{'mentions': [{'start': 0, 'end': 13, 'username': 'sharonrainey', 'id': '14692193'}, {'start': 63, 'end': 76, 'username': 'Lyme_Warrior', 'id': '34940533'}, {'start': 77, 'end': 86, 'username': 'berylmom', 'id': '27454887'}, {'start': 87, 'end': 99, 'username': 'AlisynGayle', 'id': '90733366'}, {'start': 100, 'end': 112, 'username': 'Lil_Duckski', 'id': '137363611'}]}","{'public_metrics': {'followers_count': 3147, 'following_count': 2372, 'tweet_count': 322189, 'listed_count': 450}, 'created_at': '2009-02-02T04:28:59.000Z', 'description': 'grieving deaths of some of my dearest; empty & 💔; mostly offline for now, not replying | a duty to birds | she/her | 🌊 get to work', 'name': 'z', 'location': 'Washington, DC', 'username': 'zebrafinch'}",zebrafinch,Washington,District of Columbia,District of Columbia,United States,"District of Columbia,District of Columbia",2012,0,
1.11488E+18,Times All-North boys basketball Section 3 MVP: Lyme’s Wilson continues to evolve https://t.co/idnpcTykZk,381192117,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 7, 'quote_count': 0}",2019-04-07T13:00:35.000Z,,1.11488E+18,everyone,Facebook,,"[{'domain': {'id': '11', 'name': 'Sport', 'description': 'Types of sports, like soccer and basketball'}, 'entity': {'id': '706083902411055104', 'name': 'Basketball'}}]","{'annotations': [{'start': 54, 'end': 59, 'probability': 0.7544, 'type': 'Person', 'normalized_text': 'Wilson'}], 'urls': [{'start': 81, 'end': 104, 'url': 'https://t.co/idnpcTykZk', 'expanded_url': 'http://www.watertowndailytimes.com/apps/pbcs.dll/article?avis=WD&date=20190407&category=SPORTS&lopenr=190409003&Ref=AR', 'display_url': 'watertowndailytimes.com/apps/pbcs.dll/…'}]}","{'public_metrics': {'followers_count': 3832, 'following_count': 95, 'tweet_count': 47464, 'listed_count': 30}, 'username': 'WDTsports', 'name': 'NNY360 & WDT Sports', 'location': 'Watertown, NY', 'created_at': '2011-09-27T22:17:06.000Z', 'description': 'Sports via @WDTnews, including Potsdam, Oswego, St. Lawrence, Clarkson, Syracuse. @DanMountSports @CapCareyWDT @cfitzwdt @JoshuaStCroix'}",WDTsports,Watertown,New York,Jefferson County,United States,"Jefferson County,New York",2019,0,
28062761300,"I should be an entomologist. I love bugs, except for mosquitoes and ticks. I got Lyme disease from a tick, but luckily caught it in time.",33703794,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2010-10-21T21:39:56.000Z,,28062761300,everyone,Twitter Web Client,,,,"{'created_at': '2009-04-20T23:00:40.000Z', 'location': 'Omaha Nebraska', 'username': 'HopeDMorgan', 'name': 'Hope Morgan', 'description': 'I love to garden. I also love watching birds, bugs and butterflies.', 'public_metrics': {'followers_count': 31, 'following_count': 103, 'tweet_count': 266, 'listed_count': 1}}",HopeDMorgan,Omaha,Nebraska,Douglas County,United States,"Douglas County,Nebraska",2010,1,1
2.00644E+17,Summer is coming-the ticks are out. Learn how to protect your family from #Lyme Disease. Check our #R4b spotlight http://t.co/y5zTMaT0,312835794,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2012-05-10T17:49:58.000Z,,2.00644E+17,everyone,Twitter Web Client,,,"{'hashtags': [{'start': 74, 'end': 79, 'tag': 'Lyme'}, {'start': 99, 'end': 103, 'tag': 'R4b'}], 'urls': [{'start': 114, 'end': 134, 'url': 'http://t.co/y5zTMaT0', 'expanded_url': 'http://tinyurl.com/cjw6ts8', 'display_url': 'tinyurl.com/cjw6ts8'}]}","{'name': 'Mass Region 4b', 'location': 'Cambridge, MA', 'description': 'A coalition of 27 public health departments in Metro Boston. Your one stop shopping for emergency preparedness information and planning tools.', 'username': 'MassRegion4b', 'public_metrics': {'followers_count': 368, 'following_count': 259, 'tweet_count': 4626, 'listed_count': 37}, 'created_at': '2011-06-07T18:59:45.000Z'}",MassRegion4b,Cambridge,Massachusetts,Middlesex County,United States,"Middlesex County,Massachusetts",2012,1,1
1.319E+18,"@chrisloder Tory Scum, at the next GE your out.....enjoy your £3k+ pay rise , don't come to Lyme Regis your not welcome scumbag! how can you sleep at night knowing kids can't sleep because their hungry ,shame on you! boo!",1.20582E+18,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2020-10-21T19:18:45.000Z,195808903,1.319E+18,everyone,Twitter Web App,,,"{'mentions': [{'start': 0, 'end': 11, 'username': 'chrisloder', 'id': '195808903'}], 'annotations': [{'start': 92, 'end': 101, 'probability': 0.5398, 'type': 'Place', 'normalized_text': 'Lyme Regis'}]}","{'created_at': '2019-12-14T12:18:25.000Z', 'location': 'DORSET', 'public_metrics': {'followers_count': 845, 'following_count': 1318, 'tweet_count': 60219, 'listed_count': 3}, 'username': 'ATTHESEASIDE4', 'description': 'BORIS JOHNSON IS A LIAR & RACIST! THE RIGHT WING MSM WON THE GE FOR THE TORY WITH LIES & SMEARS! ,PLEASE FOLLOW BACK!', 'name': 'ATTHESEASIDE 💙💙ex-Labour💙💙'}",ATTHESEASIDE4,Dorset,Ohio,Ashtabula County,United States,"Ashtabula County,Ohio",2020,0,
1.0371E+18,Hot and dry weather apparently hampering ticks that carry Lyme disease – Press Herald https://t.co/d1v6sk09AP,1135630879,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2018-09-04T22:12:17.000Z,,1.0371E+18,everyone,WordPress.com,,"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '854692455005921281', 'name': 'Science', 'description': 'Science'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '857083369514876928', 'name': 'Weather', 'description': 'Weather'}}]","{'urls': [{'start': 86, 'end': 109, 'url': 'https://t.co/d1v6sk09AP', 'expanded_url': 'http://portlandtalks.com/maine/2018/09/04/hot-and-dry-weather-apparently-hampering-ticks-that-carry-lyme-disease-press-herald/', 'display_url': 'portlandtalks.com/maine/2018/09/…'}], 'annotations': [{'start': 73, 'end': 84, 'probability': 0.877, 'type': 'Organization', 'normalized_text': 'Press\xa0Herald'}]}","{'description': '#Portland Talks is a free service for the people of #Maine to discuss #news & #issues in Portland. Our mission is to improve our quality of life. #PortlandTalks', 'created_at': '2013-01-31T00:50:02.000Z', 'name': 'Portland Talks', 'username': 'PortlandTalksME', 'public_metrics': {'followers_count': 149, 'following_count': 25, 'tweet_count': 71908, 'listed_count': 10}, 'location': 'Portland, Maine'}",PortlandTalksME,Portland,Maine,Cumberland County,United States,"Cumberland County,Maine",2018,1,1
