cty_st,tweets_2010,tweets_2011,tweets_2012,tweets_2013,tweets_2014,tweets_2015,tweets_2016,tweets_2017,tweets_2018,tweets_2019,Ctyname,Stname,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,Cases2018,Cases2019
"Autauga County,Alabama",2,0,0,0,0,0,1,0,0,0,Autauga County,Alabama,0,0,0,0,0,0,2,0,0,1
"Baldwin County,Alabama",4,2,1,6,3,27,12,28,24,22,Baldwin County,Alabama,0,1,1,0,3,1,2,2,0,0
"Barbour County,Alabama",0,0,0,0,0,0,0,0,0,0,Barbour County,Alabama,0,1,0,0,0,0,0,0,0,1
"Bibb County,Alabama",0,2,3,3,0,0,0,0,0,0,Bibb County,Alabama,0,0,0,0,1,0,0,0,1,0
"Blount County,Alabama",0,2,0,0,1,0,1,1,0,2,Blount County,Alabama,0,1,0,0,0,0,0,0,2,0
"Bullock County,Alabama",0,0,0,0,0,0,0,0,0,0,Bullock County,Alabama,0,0,0,0,0,0,0,1,0,0
"Butler County,Alabama",0,0,0,0,0,0,0,1,0,0,Butler County,Alabama,0,1,0,0,0,0,0,0,0,0
"Calhoun County,Alabama",0,0,5,10,4,19,2,14,1,6,Calhoun County,Alabama,0,2,1,3,2,0,1,0,0,3
"Chambers County,Alabama",0,0,0,0,0,0,0,0,0,0,Chambers County,Alabama,0,0,0,0,0,1,0,0,1,2
"Cherokee County,Alabama",0,0,0,0,3,3,3,2,0,1,Cherokee County,Alabama,0,0,0,0,0,0,0,0,0,0
"Chilton County,Alabama",0,0,0,0,0,0,1,0,0,0,Chilton County,Alabama,0,0,0,0,0,0,0,1,0,1
"Choctaw County,Alabama",0,3,0,5,0,4,4,6,3,3,Choctaw County,Alabama,0,0,0,0,0,0,0,0,1,0
"Clarke County,Alabama",0,0,0,0,0,0,0,1,0,1,Clarke County,Alabama,0,0,0,0,0,0,0,0,0,0
"Clay County,Alabama",0,0,0,0,0,2,0,0,0,0,Clay County,Alabama,0,0,0,0,0,1,0,1,1,0
"Cleburne County,Alabama",1,0,0,0,1,0,0,0,0,0,Cleburne County,Alabama,0,0,0,0,1,0,0,0,0,1
"Coffee County,Alabama",0,0,0,2,3,0,0,0,0,0,Coffee County,Alabama,1,0,0,0,0,0,1,1,0,0
"Colbert County,Alabama",0,0,2,1,0,1,0,1,1,0,Colbert County,Alabama,0,0,0,0,0,0,0,0,1,2
"Conecuh County,Alabama",0,0,0,0,0,0,3,1,7,2,Conecuh County,Alabama,0,0,0,0,0,0,0,0,0,0
"Coosa County,Alabama",0,0,0,0,0,0,0,1,0,0,Coosa County,Alabama,0,0,0,0,1,0,0,0,0,1
"Covington County,Alabama",0,1,0,3,6,7,2,2,6,7,Covington County,Alabama,0,0,0,0,0,0,0,1,1,0
"Crenshaw County,Alabama",0,1,0,0,0,0,1,0,1,0,Crenshaw County,Alabama,0,0,0,0,0,0,0,0,0,0
"Cullman County,Alabama",0,0,4,0,2,1,1,3,3,7,Cullman County,Alabama,0,0,0,1,0,0,1,1,1,1
"Dale County,Alabama",2,1,0,0,0,0,0,2,4,0,Dale County,Alabama,0,0,0,0,0,0,0,1,2,0
"Dallas County,Alabama",1,0,0,0,0,1,0,1,0,1,Dallas County,Alabama,0,0,0,0,0,1,1,1,0,1
"DeKalb County,Alabama",0,0,0,0,0,1,1,2,0,1,DeKalb County,Alabama,0,0,1,0,0,0,1,1,4,5
"Elmore County,Alabama",0,1,0,1,1,0,1,1,3,6,Elmore County,Alabama,0,0,0,0,5,1,0,0,1,2
"Escambia County,Alabama",0,0,0,0,0,0,0,1,0,0,Escambia County,Alabama,0,0,0,0,0,0,0,0,0,1
"Etowah County,Alabama",1,0,1,2,1,1,0,0,0,3,Etowah County,Alabama,0,0,0,0,0,0,0,0,0,1
"Fayette County,Alabama",0,0,0,0,0,0,0,0,0,0,Fayette County,Alabama,0,0,0,0,0,0,1,1,0,3
"Franklin County,Alabama",0,0,0,0,0,1,0,0,0,5,Franklin County,Alabama,0,0,0,0,0,0,0,1,0,0
"Geneva County,Alabama",0,1,17,34,4,58,32,5,5,12,Geneva County,Alabama,0,1,0,0,1,0,0,0,1,1
"Greene County,Alabama",0,0,0,0,1,2,0,0,0,0,Greene County,Alabama,0,0,0,0,0,0,1,0,0,0
"Hale County,Alabama",0,1,0,0,0,0,0,0,0,0,Hale County,Alabama,0,0,0,0,1,0,0,1,1,1
"Henry County,Alabama",1,1,0,0,0,0,1,1,1,1,Henry County,Alabama,0,0,0,0,0,0,0,0,0,0
"Houston County,Alabama",0,0,0,6,0,5,0,1,0,0,Houston County,Alabama,0,1,1,0,0,0,1,1,1,1
"Jackson County,Alabama",0,0,0,1,1,0,0,3,4,0,Jackson County,Alabama,0,0,0,0,1,0,1,2,0,3
"Jefferson County,Alabama",32,15,23,46,42,63,338,110,96,44,Jefferson County,Alabama,0,0,3,0,4,3,2,4,4,3
"Lamar County,Alabama",0,0,0,0,0,0,0,0,1,6,Lamar County,Alabama,0,0,0,1,1,0,0,0,0,2
"Lauderdale County,Alabama",0,5,6,6,1,4,1,5,3,3,Lauderdale County,Alabama,1,0,1,1,0,0,0,0,0,0
"Lawrence County,Alabama",0,0,0,0,0,0,0,0,0,0,Lawrence County,Alabama,0,0,0,0,0,0,0,0,0,0
"Lee County,Alabama",1,38,4,252,153,24,7,5,9,7,Lee County,Alabama,0,1,1,0,2,0,1,1,1,2
"Limestone County,Alabama",0,0,0,2,2,4,1,2,2,0,Limestone County,Alabama,0,2,0,0,1,0,0,0,0,2
"Lowndes County,Alabama",0,1,0,0,0,0,0,0,0,0,Lowndes County,Alabama,0,0,1,0,0,0,0,0,0,0
"Macon County,Alabama",0,0,0,0,0,0,1,0,0,0,Macon County,Alabama,0,0,0,0,0,0,0,0,0,0
"Madison County,Alabama",0,8,6,15,15,61,17,18,20,17,Madison County,Alabama,0,3,5,3,5,1,1,3,7,5
"Marengo County,Alabama",0,0,0,0,0,2,8,2,0,0,Marengo County,Alabama,0,0,0,0,2,1,0,1,0,2
"Marion County,Alabama",0,0,1,4,3,3,4,2,0,0,Marion County,Alabama,0,0,0,1,0,0,0,0,0,1
"Marshall County,Alabama",0,1,3,2,2,2,6,3,2,2,Marshall County,Alabama,0,1,0,2,3,1,1,2,0,0
"Mobile County,Alabama",2,5,3,7,6,26,38,11,3,8,Mobile County,Alabama,0,0,5,5,1,5,4,3,0,2
"Monroe County,Alabama",0,0,0,3,2,2,7,0,0,2,Monroe County,Alabama,0,0,0,0,2,0,0,0,0,0
"Montgomery County,Alabama",1,3,3,10,8,14,8,12,11,10,Montgomery County,Alabama,0,2,0,1,4,0,0,0,0,3
"Morgan County,Alabama",0,0,0,0,2,1,88,1,1,2,Morgan County,Alabama,0,1,1,0,2,0,0,1,0,0
"Perry County,Alabama",0,0,0,0,0,0,0,0,0,0,Perry County,Alabama,0,0,0,0,0,0,0,0,0,0
"Pickens County,Alabama",0,0,0,0,0,0,0,0,0,0,Pickens County,Alabama,0,0,0,0,0,0,1,0,0,1
"Pike County,Alabama",0,0,0,2,2,2,0,0,0,1,Pike County,Alabama,0,0,0,0,0,0,0,0,0,0
