cty_st,tweets_2010,tweets_2011,tweets_2012,tweets_2013,tweets_2014,tweets_2015,tweets_2016,tweets_2017,tweets_2018,tweets_2019,Ctyname,Stname,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,Cases2018,Cases2019
"Abbeville County,South Carolina",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abbeville County,South Carolina,0,0,0,1,0,0,0,0,0,0
"Acadia Parish,Louisiana",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Acadia Parish,Louisiana,0,0,0,0,0,0,0,0,0,0
"Accomack County,Virginia",2.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,Accomack County,Virginia,3,4,7,7,3,6,5,7,1,1
"Ada County,Idaho",10.0,12.0,25.0,28.0,27.0,38.0,27.0,60.0,57.0,37.0,Ada County,Idaho,2,1,0,3,1,2,4,3,0,6
"Adair County,Iowa",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Adair County,Iowa,0,0,0,0,0,0,0,0,1,0
"Adair County,Kentucky",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Adair County,Kentucky,0,0,0,0,0,0,0,0,1,0
"Adair County,Missouri",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Adair County,Missouri,0,1,0,0,0,0,0,0,0,1
"Adair County,Oklahoma",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Adair County,Oklahoma,0,0,0,0,0,0,0,0,0,0
"Adams County,Colorado",2.0,2.0,0.0,1.0,3.0,146.0,67.0,7.0,6.0,3.0,Adams County,Colorado,0,0,0,0,0,0,0,0,1,1
"Adams County,Illinois",0.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,3.0,9.0,Adams County,Illinois,1,0,0,0,3,1,1,0,2,1
"Adams County,Indiana",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Adams County,Indiana,1,0,0,1,1,0,1,0,1,0
"Adams County,Mississippi",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,Adams County,Mississippi,0,0,0,0,0,0,0,0,0,0
"Adams County,Nebraska",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Adams County,Nebraska,0,0,0,0,0,0,0,1,1,0
"Adams County,Ohio",0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,Adams County,Ohio,0,0,0,0,0,0,0,1,0,3
"Adams County,Pennsylvania",2.0,5.0,2.0,4.0,0.0,5.0,4.0,10.0,3.0,8.0,Adams County,Pennsylvania,39,63,61,47,91,120,86,144,137,98
"Adams County,Washington",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Adams County,Washington,0,0,0,0,0,0,0,0,0,1
"Addison County,Vermont",0.0,0.0,7.0,4.0,5.0,6.0,7.0,6.0,3.0,9.0,Addison County,Vermont,22,44,29,57,42,43,54,91,31,80
"Aiken County,South Carolina",2.0,0.0,0.0,3.0,1.0,1.0,6.0,2.0,3.0,1.0,Aiken County,South Carolina,0,0,0,0,1,1,2,0,1,2
"Alachua County,Florida",10.0,26.0,17.0,25.0,13.0,32.0,28.0,37.0,28.0,29.0,Alachua County,Florida,1,2,3,0,0,4,3,1,0,0
"Alamance County,North Carolina",3.0,2.0,4.0,4.0,0.0,4.0,5.0,10.0,4.0,1.0,Alamance County,North Carolina,0,0,1,2,2,1,1,2,1,4
"Alameda County,California",43.0,332.0,85.0,143.0,200.0,257.0,274.0,187.0,151.0,150.0,Alameda County,California,3,2,4,0,1,8,12,13,2,17
"Alamosa County,Colorado",0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Alamosa County,Colorado,0,0,0,0,0,0,0,0,0,0
"Alaska,Alaska",1.0,1.0,9.0,2.0,3.0,3.0,2.0,2.0,5.0,9.0,Alaska,Alaska,0,0,1,1,0,0,0,0,0,0
"Albany County,New York",22.0,36.0,46.0,84.0,128.0,149.0,154.0,135.0,150.0,86.0,Albany County,New York,157,364,114,123,104,129,53,155,116,143
