Unnamed: 0,id,text,author_id,public_metrics,created_at,in_reply_to_user_id,conversation_id,reply_settings,source,referenced_tweets,context_annotations,entities,user,user_name,city,state,county,country
46015.0,14926039669,"The mortitioner just called, he said that your father wasn't actually brutally murdered by thugs... He died of Lyme disease",75728614,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2010-05-28T19:03:20.000Z,,14926039669,everyone,Twitter Web Client,,,"{'annotations': [{'start': 111, 'end': 122, 'probability': 0.3825, 'type': 'Other', 'normalized_text': 'Lyme disease'}]}","{'username': 'aManWithThePlan', 'name': 'Michael Danger Mowry', 'public_metrics': {'followers_count': 16, 'following_count': 14, 'tweet_count': 914, 'listed_count': 0}, 'description': ""I'm just a man on a mission... that's about it."", 'created_at': '2009-09-20T05:37:00.000Z', 'location': 'Austin'}",aManWithThePlan,Austin,Texas,Travis County,United States
42960.0,15746378425,Topic: Lyme Disease - Serious But Preventable In Pet Dogs and Cats (Read 14 times): Lyme Disease - Everyone knows ... http://bit.ly/8YXhPx,75726833,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2010-06-09T01:14:37.000Z,,15746378425,everyone,twitterfeed,,,,"{'created_at': '2009-09-20T05:23:09.000Z', 'public_metrics': {'followers_count': 5293, 'following_count': 6104, 'tweet_count': 129978, 'listed_count': 52}, 'description': 'Bright and optimistic.', 'name': 'tifa jhonson', 'username': 'tifajhonson', 'location': 'Washington'}",tifajhonson,Washington,District of Columbia,District of Columbia,United States
33677.0,18316817690,"@ComfyPaws  HAHA! I think I better switch topics. You can tell I have Lyme on the brain--bugs, brain. Ick. Time for dinner. Ewww.",19893071,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2010-07-12T01:01:26.000Z,23038023.0,18316160646,everyone,Twitter Web Client,"[{'type': 'replied_to', 'id': '18316160646'}]",,"{'mentions': [{'start': 0, 'end': 10, 'username': 'ComfyPaws', 'id': '23038023'}]}","{'public_metrics': {'followers_count': 3147, 'following_count': 2372, 'tweet_count': 322206, 'listed_count': 450}, 'description': 'grieving deaths of some of my dearest; empty & 💔; mostly offline for now, not replying | a duty to birds | she/her | 🌊 get to work', 'username': 'zebrafinch', 'created_at': '2009-02-02T04:28:59.000Z', 'name': 'z', 'location': 'Washington, DC'}",zebrafinch,Washington,District of Columbia,District of Columbia,United States
58785.0,12172751260,13 News Blog: Lyme Disease Update by Noreen Turyn : http://clkurl.com/?tb3573,15145138,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2010-04-14T16:44:29.000Z,,12172751260,everyone,Twitter Web Client,,,"{'annotations': [{'start': 14, 'end': 32, 'probability': 0.7808, 'type': 'Other', 'normalized_text': 'Lyme Disease Update'}, {'start': 37, 'end': 48, 'probability': 0.982, 'type': 'Person', 'normalized_text': 'Noreen Turyn'}]}","{'public_metrics': {'followers_count': 48331, 'following_count': 531, 'tweet_count': 174560, 'listed_count': 617}, 'created_at': '2008-06-17T12:47:17.000Z', 'description': 'Edward R. Murrow Award Winner. Your stop for all breaking news, weather & sports coming from the heart of Virginia. Story ideas? Email us: newsdesk@wset.com', 'name': 'ABC 13 News - WSET', 'location': 'Lynchburg, VA', 'username': 'ABC13News'}",ABC13News,Lynchburg,Virginia,Lynchburg City,United States
67569.0,9583950791,"Listening to ""Truth to Tell"" radio show about #Lyme Disease featuring Connie Strasheim and other guests. Stream live @ www.kfai.org!",46157118,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2010-02-24T17:06:06.000Z,,9583950791,everyone,Twitter Web Client,,,"{'annotations': [{'start': 14, 'end': 26, 'probability': 0.9862, 'type': 'Other', 'normalized_text': 'Truth to Tell'}, {'start': 52, 'end': 58, 'probability': 0.4852, 'type': 'Other', 'normalized_text': 'Disease'}, {'start': 70, 'end': 85, 'probability': 0.9895, 'type': 'Person', 'normalized_text': 'Connie Strasheim'}], 'hashtags': [{'start': 46, 'end': 51, 'tag': 'Lyme'}]}","{'name': 'Molly Murphy', 'location': 'Minneapolis, MN', 'description': 'NE Mpls. Writer. @elephantjournal editor. Tea drinker. Pen stealer. Postcard lover. Vegan. Classic movie addict. Director of Curriculum @ Elephant Academy.', 'username': 'dizzygrl05', 'public_metrics': {'followers_count': 943, 'following_count': 1000, 'tweet_count': 13062, 'listed_count': 0}, 'created_at': '2009-06-10T16:44:23.000Z'}",dizzygrl05,Minneapolis,Minnesota,Hennepin County,United States
69926.0,8821894864,Help get @lesallan's brother airlifted to New York so he can see a Lyme Specialist http://bit.ly/bzaQUd (pls RT) (via @LessConf),14443264,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2010-02-08T19:45:56.000Z,,8821894864,everyone,Twitter Web Client,,,"{'mentions': [{'start': 9, 'end': 18, 'username': 'Lesallan', 'id': '393441824'}, {'start': 118, 'end': 127, 'username': 'LessConf', 'id': '65197027'}], 'annotations': [{'start': 42, 'end': 49, 'probability': 0.9918, 'type': 'Place', 'normalized_text': 'New York'}]}","{'created_at': '2008-04-19T13:44:37.000Z', 'location': 'Palm Harbor, FL', 'username': 'hemphill', 'name': 'Greg Hemphill', 'description': 'Christian, family man, pragmatic programmer, responsive designer, and CTO at Webstop.', 'public_metrics': {'followers_count': 713, 'following_count': 834, 'tweet_count': 6613, 'listed_count': 43}}",hemphill,Palm Harbor,Florida,Pinellas County,United States
65104.0,10357825705,Is There A Lyme Disease Treatment That Works- http://bit.ly/cbaQLO,37151604,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2010-03-12T05:04:24.000Z,,10357825705,everyone,twitterfeed,,,,"{'name': 'Niche Marketing', 'public_metrics': {'followers_count': 5459, 'following_count': 7275, 'tweet_count': 82378, 'listed_count': 24}, 'description': 'Discover the secrets to making money though perfect niche marketing strategies', 'created_at': '2009-05-02T05:46:59.000Z', 'username': 'toriola12', 'location': 'Atlanta, Georgia'}",toriola12,Atlanta,Georgia,Fulton County,United States
24523.0,21435933767,How to Pick Up on Lyme Disease Symptoms « Valley Doctor http://bit.ly/9r5ZQy @perryfields,57935047,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2010-08-17T21:51:44.000Z,,21435933767,everyone,twitterfeed,,,"{'annotations': [{'start': 18, 'end': 38, 'probability': 0.4637, 'type': 'Other', 'normalized_text': 'Lyme Disease Symptoms'}], 'mentions': [{'start': 77, 'end': 89, 'username': 'perryfields', 'id': '2445706991'}]}","{'public_metrics': {'followers_count': 1323, 'following_count': 26, 'tweet_count': 6900, 'listed_count': 28}, 'username': 'LymeRecover', 'name': 'LymeRecover', 'created_at': '2009-07-18T13:44:52.000Z', 'description': 'Athlete, Author, Post Lyme Disease Thriver!', 'location': 'Colorado Springs'}",LymeRecover,Colorado Springs,Colorado,El Paso County,United States
10222.0,29058558920,"Lyme Disease - Ayurvedic Herbal Treatment
 http://ezinearticles.com/?Lyme-Disease---Ayurvedic-Herbal-Treatment&id=2088671",49870061,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2010-10-29T04:59:56.000Z,,29058558920,everyone,Twitter Web Client,,,,"{'public_metrics': {'followers_count': 262, 'following_count': 118, 'tweet_count': 5007, 'listed_count': 3}, 'created_at': '2009-06-23T03:24:17.000Z', 'description': 'Cancer survivor and mother of 2 wonderful autistic boys on their way to recovery', 'name': 'Gabriela DeVelbiss', 'location': 'MODESTO CA', 'username': 'stemcell4autism'}",stemcell4autism,Modesto,California,Stanislaus County,United States
42982.0,15743481981,"Lyme disease is tough, debilitating condition - http://fwix.com/a/19_62e634c50b",37623609,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2010-06-09T00:28:27.000Z,,15743481981,everyone,Twitter Web Client,,,,"{'created_at': '2009-05-04T08:44:22.000Z', 'public_metrics': {'followers_count': 1999, 'following_count': 123, 'tweet_count': 44595, 'listed_count': 60}, 'description': 'Breaking news and blog posts from Jacksonville Florida!', 'name': 'Jacksonville Local', 'username': 'jvillenews', 'location': 'Jacksonville Florida'}",jvillenews,Jacksonville,Florida,Duval County,United States
20930.0,22876240235,Chronic Lyme Disease:  How Often Is It Diagnosed And Treated?: The existence of chronic Lyme disease is an issue o... http://bit.ly/9BzodA,49518295,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2010-09-03T10:31:56.000Z,,22876240235,everyone,twitterfeed,,,,"{'description': '', 'public_metrics': {'followers_count': 355, 'following_count': 669, 'tweet_count': 14958, 'listed_count': 4}, 'username': 'lahealthylife', 'name': 'Ryan', 'created_at': '2009-06-22T03:08:40.000Z', 'location': 'Los Angeles'}",lahealthylife,Los Angeles,California,Los Angeles County,United States
4122.0,10788431697285120,RT @LYMEGIRLS: Don't forget Lyme Girl is on Facebook- for more info and commentary add me on there! XO,15013572,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2010-12-03T20:12:17.000Z,,10788431697285120,everyone,TweetDeck,,,"{'annotations': [{'start': 28, 'end': 36, 'probability': 0.3463, 'type': 'Other', 'normalized_text': 'Lyme Girl'}, {'start': 44, 'end': 51, 'probability': 0.5256, 'type': 'Product', 'normalized_text': 'Facebook'}]}","{'public_metrics': {'followers_count': 41462, 'following_count': 38503, 'tweet_count': 98735, 'listed_count': 1592}, 'created_at': '2008-06-05T03:01:43.000Z', 'description': 'Speaker & Holistic #Health Care #Coach Living Well with #Fibromyalgia. #Author of #1 Amazon #ChronicIllness best-sellers #FibroWHYalgia #GetBackintoWhack', 'name': 'Sue Ingebretson', 'username': 'SueInge', 'location': 'Orange County, CA'}",SueInge,,California,Orange County,United States
15322.0,26424764606,"@RecoverHealth Cognitive from #Lyme still issue, as is energy. Pain more manageable. Am hopeful, but managing fear daily. Missing yr tweets!",19893071,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2010-10-05T03:34:41.000Z,40685411.0,26424524969,everyone,Twitter Web Client,"[{'type': 'replied_to', 'id': '26424524969'}]",,"{'hashtags': [{'start': 30, 'end': 35, 'tag': 'Lyme'}], 'mentions': [{'start': 0, 'end': 14, 'username': 'RecoverHealth', 'id': '2501115774'}]}","{'description': 'grieving deaths of some of my dearest; empty & 💔; mostly offline for now, not replying | a duty to birds | she/her | 🌊 get to work', 'public_metrics': {'followers_count': 3147, 'following_count': 2372, 'tweet_count': 322207, 'listed_count': 450}, 'created_at': '2009-02-02T04:28:59.000Z', 'username': 'zebrafinch', 'name': 'z', 'location': 'Washington, DC'}",zebrafinch,Washington,District of Columbia,District of Columbia,United States
53793.0,13316894762,I just updated my Squidoo page: Different Lyme Diseases- Natural Remedies For Dogs / http://tinyurl.com/yjrxqy7,16044117,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2010-05-03T17:33:03.000Z,,13316894762,everyone,Twitter Web Client,,,,"{'public_metrics': {'followers_count': 319, 'following_count': 245, 'tweet_count': 10566, 'listed_count': 0}, 'username': 'saytue_sayewhat', 'name': 'Saytue Saye', 'created_at': '2008-08-29T16:32:33.000Z', 'location': 'Stone Mountain, Georgia', 'description': 'Poet, Author, Artist Management, Medium'}",saytue_sayewhat,Stone Mountain,Georgia,Dekalb County,United States
73752.0,7674580462,"Questions about Vitamin D2 and D3, Plus Lyme Disease and More ... http://bit.ly/85XcJL",36864744,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2010-01-12T16:41:00.000Z,,7674580462,everyone,twitterfeed,,,,"{'name': 'Alonso R. Arellano', 'location': 'los angeles, ca', 'description': 'Founder of Nopaltilla,The Healthy Green Cactus Tortilla,Entrepeneur, Restaurateur,Diabetes Advisor and Medical Physicist Specialized in Cancer Radiation Therapy', 'username': 'Nopaltilla', 'public_metrics': {'followers_count': 4067, 'following_count': 4755, 'tweet_count': 35434, 'listed_count': 91}, 'created_at': '2009-05-01T03:00:39.000Z'}",Nopaltilla,Los Angeles,California,Los Angeles County,United States
14860.0,26655712616,Is Plum Island connected to Lyme disease? http://fb.me/JG5TehN2,18606901,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2010-10-07T14:55:11.000Z,,26655712616,everyone,Twitter Web Client,,,,"{'name': 'Dr. David Jernigan', 'location': 'Franklin, TN', 'description': 'One of a wonderful team of doctors and staff pursuing significance in life through helping others heal. Phage researcher, author, leader: Bioregulatory Medicine', 'username': 'DavidJernigan', 'public_metrics': {'followers_count': 8144, 'following_count': 6002, 'tweet_count': 2291, 'listed_count': 176}, 'created_at': '2009-01-04T17:55:21.000Z'}",DavidJernigan,Franklin,Tennessee,Williamson County,United States
51391.0,13718906352,From WHBY News: State health official warns about Lyme disease http://ow.ly/17k2Jh,24924961,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2010-05-10T10:17:21.000Z,,13718906352,everyone,Twitter Web Client,,,,"{'username': 'whby', 'name': 'WHBY', 'location': 'Appleton, WI', 'public_metrics': {'followers_count': 3571, 'following_count': 231, 'tweet_count': 61727, 'listed_count': 162}, 'description': 'WHBY... Real. Local. Radio.  103.5 FM Appleton, 106.3 FM Oshkosh & 1150. Online 24/7 at https://t.co/tGUEHYhxiv', 'created_at': '2009-03-17T18:16:33.000Z'}",whby,Appleton,Wisconsin,Outagamie County,United States
